"geoid","pop","jobs","lat","lon"
"481130181342","3039","302","32.906653","-96.523516"
"481130136251","1837","233","32.94297","-96.820085"
"484391110103","2181","365","32.609327","-97.525423"
"480850305243","2043","47","33.21382","-96.761136"
"484391141095","1967","34","32.920716","-97.367371"
"481130021001","2720","39235","32.783409","-96.80126"
"481130096091","1577","115","32.898404","-96.847668"
"481210217292","1454","313","33.012956","-97.036683"
"481390602181","1037","34","32.488364","-96.789625"
"484391221004","1520","187","32.723752","-97.093312"
"481130094013","945","86","32.877326","-96.85118"
"481210214111","1477","808","33.111107","-97.021671"
"483671406011","3415","1337","32.694098","-97.91544"
"481130006052","582","4789","32.809343","-96.805637"
"484391065182","1281","342","32.825168","-97.055958"
"481130142031","1628","180","32.841384","-96.947075"
"484391136121","1242","195","32.858665","-97.170215"
"484391003003","1891","78","32.799838","-97.359498"
"484391049001","1610","194","32.79899","-97.296434"
"481130122082","910","95","32.796242","-96.723212"
"481130044001","1244","77","32.756348","-96.841078"
"484391227021","968","223","32.717767","-97.127938"
"481130042011","1594","5042","32.757966","-96.832437"
"480850306042","961","2456","33.245947","-96.631307"
"480850316414","2018","289","33.089138","-96.742623"
"484391064002","2129","41","32.682208","-97.235684"
"481130164173","1616","24","32.652641","-97.024503"
"481130138061","1993","39010","32.931179","-96.835733"
"480850316451","2017","1918","33.050424","-96.837886"
"480850313242","1855","146","33.040837","-96.647786"
"481130153053","1265","134","32.806617","-96.987707"
"484391139551","1770","168","32.97768","-97.128288"
"481210218002","1436","174","33.101805","-96.84705"
"481130082003","1310","1024","32.835874","-96.698819"
"484391139232","1148","994","32.865898","-97.312211"
"484391037012","2636","60","32.723132","-97.275267"
"481130173091","1347","39","32.736231","-96.543029"
"481130181512","2821","1403","32.951293","-96.601662"
"484391021023","1483","220","32.767089","-97.375225"
"483970401041","2080","1299","32.925644","-96.513551"
"484391132232","2085","982","32.840666","-97.209678"
"480850305092","1183","31","33.119515","-96.792748"
"481130193021","3758","3423","32.841381","-96.783876"
"484391136112","1343","718","32.870004","-97.175348"
"481130093044","2173","8","32.715552","-96.714051"
"481130143201","936","38","32.878888","-96.966402"
"481130141342","1997","744","32.986983","-96.985036"
"481130136262","1513","7277","32.937675","-96.817045"
"482511304111","1868","227","32.479439","-97.178186"
"481130063021","1431","32","32.72575","-96.841965"
"481210213041","1577","706","33.174281","-97.134697"
"484391023013","1222","2346","32.724195","-97.446672"
"483970405103","1508","402","32.865305","-96.480123"
"484391005063","1649","53","32.805744","-97.379112"
"481130151021","2417","132","32.804475","-96.953356"
"482511304122","3173","752","32.46942","-97.096902"
"484391140132","1644","15","32.842375","-97.377811"
"484391115311","2054","323","32.664945","-97.171464"
"484391136192","790","0","32.820379","-97.143139"
"480850318101","1854","3885","33.000477","-96.715751"
"484391115611","1350","27","32.638969","-97.082014"
"481130130052","1457","82","32.875072","-96.704415"
"484391138163","1916","845","32.919218","-97.247002"
"483671401022","1397","82","32.774156","-97.789912"
"481210215312","1691","50","33.091279","-96.869571"
"484391005031","2541","538","32.791863","-97.378444"
"481210201153","3097","315","33.175568","-96.968615"
"481210215281","1506","49","33.161518","-96.870734"
"480850302011","3470","357","33.262986","-96.533711"
"481130022003","1360","2033","32.793142","-96.782107"
