tract,lat,lon,pop,jobs
48085030901,33.21743,-96.606507,2335,3526
48439114009,32.860983,-97.414349,7464,439
48113018600,32.900757,-96.656612,3948,2487
48085031314,33.066936,-96.559297,6001,660
48085031424,33.089167,-96.656182,2875,537
48121021722,33.043089,-97.055102,4150,9622
48113006001,32.707999,-96.836191,3790,236
48439111315,32.599789,-97.0871,4575,206
48121020134,33.204353,-96.901528,5500,271
48439104301,32.705832,-97.356139,3148,4530
48121021648,33.041337,-96.85114,3104,553
48439113954,32.960408,-97.198851,3963,9485
48439102000,32.75207,-97.35508,4824,22620
48121020119,33.178117,-96.918758,4605,68
48121021638,32.995731,-96.86923,4048,88
48113018126,32.858565,-96.631768,6894,216
48085030541,33.153085,-96.689889,4468,1138
48113018148,32.858738,-96.596988,5372,742
48439110600,32.758334,-97.416045,2585,1199
48113009611,32.901755,-96.87665,3497,686
48139060500,32.386258,-96.858235,3350,3781
48113010701,32.755355,-96.902109,5543,10073
48085031418,33.130917,-96.673525,7110,4006
48085031636,33.064447,-96.760929,6554,1118
48121021513,33.089806,-97.04517,3739,389
48085031664,33.075298,-96.781212,3869,256
48085031645,33.050424,-96.837886,2017,1918
48113012702,32.84002,-96.675919,3049,544
48085031512,33.096587,-96.652974,3466,499
48113013007,32.871771,-96.694175,3510,380
48113014161,32.862277,-97.012195,3122,973
48121021742,33.033109,-97.030933,6441,857
48113014406,32.823011,-96.982443,4686,1466
48439105705,32.642686,-97.364114,5295,1376
48439113302,32.804363,-97.233332,4297,1719
48085031628,33.052616,-96.720445,3472,286
48439100300,32.803001,-97.359366,5705,1761
48113013610,32.932783,-96.77538,4797,1100
48121020121,33.23784,-96.977582,7156,866
48121021622,33.010584,-96.922318,6092,920
48439111533,32.654019,-97.148584,5066,665
48367140101,32.754506,-97.758503,4503,1010
48439113908,32.931549,-97.170115,5930,1937
48113021100,32.736285,-96.790902,4087,1021
48139060300,32.396993,-96.83234,4221,338
48113007810,32.905933,-96.737844,5286,5741
48113000802,32.811996,-96.787589,3294,3740
